name	ensembl_id	gene_name	synonyms
C-C motif chemokine ligand 7	ENSG00000108688	CCL7	CCL7,SCYA6,SCYA7,MCP-3,NC28,FIC,MARC,MCP3
fibroblast growth factor 5	ENSG00000138675	FGF5	FGF5
ral guanine nucleotide dissociation stimulator	ENSG00000160271	RALGDS	RALGDS,RGF,RALGEF,RGDS
caspase recruitment domain family member 11	ENSG00000198286	CARD11	CARD11,CARMA1,BIMP3
ubiquitin specific peptidase 3	ENSG00000140455	USP3	USP3
glycoprotein nmb	ENSG00000136235	GPNMB	GPNMB,NMB,HGFIN
peroxisome proliferator activated receptor delta	ENSG00000112033	PPARD	PPARD,NUC1,NUCII,FAAR,NR1C2
interleukin 5	ENSG00000113525	IL5	IL5,IL-5,EDF,TRF
WAS protein family member 2	ENSG00000158195	WASF2	WASF2,WAVE2,SCAR2
kallikrein related peptidase 10	ENSG00000129451	KLK10	KLK10,PRSSL1,NES1
CDC28 protein kinase regulatory subunit 1B pseudogene 7		CKS1BP7	CKS1BP7,CKS1,CKS1A
S100 calcium binding protein A14	ENSG00000189334	S100A14	S100A14,S100A15,BCMP84
RAB GTPase activating protein 1 like	ENSG00000152061	RABGAP1L	RABGAP1L,HHL,TBC1D18,KIAA0471,FLJ38519
semaphorin 3B	ENSG00000012171	SEMA3B	SEMA3B,SEMAA,SEMA,SEMAV,LUCA-1,SEMA5
TNF alpha induced protein 3	ENSG00000118503	TNFAIP3	TNFAIP3,A20,OTUD7C
SP110 nuclear body protein	ENSG00000135899	SP110	SP110,IFI41,IFI75
cyclin B1	ENSG00000134057	CCNB1	CCNB1,CCNB
TNF receptor superfamily member 14	ENSG00000157873	TNFRSF14	TNFRSF14,HVEM,ATAR,TR2,LIGHTR,HVEA,CD270
apoptosis inducing factor, mitochondria associated 2	ENSG00000042286	AIFM2	AIFM2,AMID,FLJ14497,PRG3
protein kinase C and casein kinase substrate in neurons 2	ENSG00000100266	PACSIN2	PACSIN2,SDPII
RecQ like helicase 4	ENSG00000160957	RECQL4	RECQL4,RECQ4
lysine methyltransferase 2C	ENSG00000055609	KMT2C	KMT2C,MLL3,KIAA1506,HALR
nuclear receptor corepressor 2	ENSG00000196498	NCOR2	NCOR2,SMRT,SMRTE,TRAC-1,CTG26,TNRC14
methionyl-tRNA synthetase	ENSG00000166986	MARS1	MARS1,METRS,SPG70,CMT2U
T-box 2	ENSG00000121068	TBX2	TBX2
GEN1, Holliday junction 5' flap endonuclease	ENSG00000178295	GEN1	GEN1,FLJ40869,GEN
lipase maturation factor 1	ENSG00000103227	LMF1	LMF1,C16ORF26,TMEM112,FLJ12681,JFP11,FLJ22302,TMEM112A
mitogen-activated protein kinase-activated protein kinase 2	ENSG00000162889	MAPKAPK2	MAPKAPK2
HIC ZBTB transcriptional repressor 1	ENSG00000177374	HIC1	HIC1,ZBTB29,ZNF901
transcription factor 7 like 2	ENSG00000148737	TCF7L2	TCF7L2,TCF4,TCF-4
myeloid differentiation primary response 88	ENSG00000172936	MYD88	MYD88
Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	ENSG00000164442	CITED2	CITED2,MRG1
abnormal spindle microtubule assembly	ENSG00000066279	ASPM	ASPM,MCPH5,CALMBP1,ASP,FLJ10517,FLJ10549
ubiquitin specific peptidase 39	ENSG00000168883	USP39	USP39,SAD1,CGI-21,SNRNP65
mitogen-activated protein kinase 4	ENSG00000141639	MAPK4	MAPK4,PRKM4,ERK3-RELATED,ERK4
protein tyrosine phosphatase, receptor type G	ENSG00000144724	PTPRG	PTPRG,PTPG,RPTPG
transgelin	ENSG00000149591	TAGLN	TAGLN,SM22,WS3-10,TAGLN1,SMCC,DKFZP686P11128
solute carrier family 29 member 1 (Augustine blood group)	ENSG00000112759	SLC29A1	SLC29A1,ENT1
RAB5C, member RAS oncogene family	ENSG00000108774	RAB5C	RAB5C,RABL,RAB5CL
DAB2 interacting protein	ENSG00000136848	DAB2IP	DAB2IP,AF9Q34,DIP1/2,KIAA1743,AIP1
T cell receptor beta locus		TRBC1	TRBC1,TCRB,TRB@
scavenger receptor class B member 1	ENSG00000073060	SCARB1	SCARB1,CD36L1,SRB1,CLA-1,CLA1,SR-BI
Pim-3 proto-oncogene, serine/threonine kinase	ENSG00000198355	PIM3	PIM3
protein tyrosine phosphatase, receptor type H	ENSG00000080031	PTPRH	PTPRH,SAP-1
erb-b2 receptor tyrosine kinase 3	ENSG00000065361	ERBB3	ERBB3,LCCS2,HER3
succinate dehydrogenase complex iron sulfur subunit B	ENSG00000117118	SDHB	SDHB,SDH1,SDH
deleted in lymphocytic leukemia 1 (non-protein coding)	ENSG00000176124	DLEU1	DLEU1,DLB1,BCMS,LEU1,XTP6,NCRNA00021,LINC00021,BCMS1
protocadherin beta 7	ENSG00000113212	PCDHB7	PCDHB7,PCDH-BETA7
SP140 nuclear body protein	ENSG00000079263	SP140	SP140,LYSP100-B,LYSP100-A
CCND2 antisense RNA 1	ENSG00000255920	CCND2-AS1	CCND2-AS1,CCND2-AS2
PBX homeobox 3	ENSG00000167081	PBX3	PBX3
deleted in lymphocytic leukemia 2 (non-protein coding)	ENSG00000231607	DLEU2	DLEU2,DLB2,BCMSUN,RFP2OS,LEU2,TRIM13OS,NCRNA00022,LINC00022,MIR15AHG
tec protein tyrosine kinase	ENSG00000135605	TEC	TEC,PSCTK4
nicotinamide phosphoribosyltransferase	ENSG00000105835	NAMPT	NAMPT,PBEF1,PBEF
mediator complex subunit 28	ENSG00000118579	MED28	MED28,EG1,DKFZP434N185,MAGICIN
CD59 molecule (CD59 blood group)	ENSG00000085063	CD59	CD59,MIC11,MIN1,MSK21,MIN2,MIN3,16.3A5,EJ16,EJ30,EL32,G344,P18-20
C-type lectin domain family 1 member B	ENSG00000165682	CLEC1B	CLEC1B,CLEC2
S100 calcium binding protein A4	ENSG00000196154	S100A4	S100A4,MTS1,CAPL,P9KA,18A2,PEL98,42A,FSP1
insulin receptor substrate 2	ENSG00000185950	IRS2	IRS2
trophoblast glycoprotein	ENSG00000146242	TPBG	TPBG,5T4-AG,5T4
myristoylated alanine rich protein kinase C substrate	ENSG00000277443	MARCKS	MARCKS,MACS,PKCSL,80K-L
solute carrier family 1 member 5	ENSG00000105281	SLC1A5	SLC1A5,RDRC,M7V1,AAAT,ASCT2
dopa decarboxylase	ENSG00000132437	DDC	DDC,AADC
angio associated migratory cell protein	ENSG00000127837	AAMP	AAMP
myosin light chain kinase	ENSG00000065534	MYLK	MYLK,MLCK,SMMLCK,MYLK1,MLCK1
ATP binding cassette subfamily C member 10	ENSG00000124574	ABCC10	ABCC10,EST182763,MRP7,SIMRP7
ATP binding cassette subfamily C member 11	ENSG00000121270	ABCC11	ABCC11,MRP8
C-X3-C motif chemokine ligand 1	ENSG00000006210	CX3CL1	CX3CL1,SCYD1,NTN,C3XKINE,ABCD-3,CXC3C,CXC3,FRACTALKINE,NEUROTACTIN
forkhead box F1	ENSG00000103241	FOXF1	FOXF1,FKHL5,FREAC1
acetylcholinesterase (Cartwright blood group)	ENSG00000087085	ACHE	ACHE,YT
ATP citrate lyase	ENSG00000131473	ACLY	ACLY,ATPCL,CLATP,ACL
actinin alpha 4	ENSG00000130402	ACTN4	ACTN4,FSGS1
activin A receptor type 1	ENSG00000115170	ACVR1	ACVR1,ACVRLK2,SKR1,ALK2,ACVR1A
activin A receptor like type 1	ENSG00000139567	ACVRL1	ACVRL1,ACVRLK1,ORW2,HHT2,ALK1,HHT
ADAM metallopeptidase domain 10	ENSG00000137845	ADAM10	ADAM10,KUZ,MADM,HST18717,CD156C
nuclear receptor subfamily 5 group A member 1	ENSG00000136931	NR5A1	NR5A1,FTZF1,FTZ1,SF-1,ELP,AD4BP,HSF-1,SF1
dipeptidyl peptidase 4	ENSG00000197635	DPP4	DPP4,CD26,ADCP2,DPPIV
ADAM metallopeptidase domain 17	ENSG00000151694	ADAM17	ADAM17,TACE,CSVP,CD156B
ADAM metallopeptidase with thrombospondin type 1 motif 12	ENSG00000151388	ADAMTS12	ADAMTS12
ADAM metallopeptidase with thrombospondin type 1 motif 9	ENSG00000163638	ADAMTS9	ADAMTS9,KIAA1312
fibulin 5	ENSG00000140092	FBLN5	FBLN5,EVEC,UP50,DANCE,ARMD3
adenylate cyclase activating polypeptide 1	ENSG00000141433	ADCYAP1	ADCYAP1,PACAP
SSX family member 2 interacting protein	ENSG00000117155	SSX2IP	SSX2IP,HMSD1
adrenoceptor beta 2	ENSG00000169252	ADRB2	ADRB2,ADRB2R,ADRBR,BAR,B2AR
actin filament associated protein 1 like 2	ENSG00000169129	AFAP1L2	AFAP1L2,KIAA1914,FLJ14564,EM:AC005383.4,XB130
alpha fetoprotein	ENSG00000081051	AFP	AFP,HPAFP,FETA
B cell linker	ENSG00000095585	BLNK	BLNK,SLP65,LY57,SLP-65,BLNK-S,BASH,BCA
nuclear receptor subfamily 0 group B member 1	ENSG00000169297	NR0B1	NR0B1,AHC,DSS,DAX1,AHCH
FK506 binding protein 5	ENSG00000096060	FKBP5	FKBP5,FKBP51,FKBP54,PPIASE,P54,PTG-10
aurora kinase B	ENSG00000178999	AURKB	AURKB,STK12,AIK2,IPL1,AURB,AIM-1,ARK2,STK5,PPP1R48
aryl hydrocarbon receptor interacting protein	ENSG00000110711	AIP	AIP,XAP2,ARA9,FKBP16
tumor protein p63	ENSG00000073282	TP63	TP63,TP73L,TP53L,TP53CP,P51,SHFM4,EEC3,P63,P73L,OFC8,KET,P73H,NBP,P53CP
AKT1 substrate 1	ENSG00000204673	AKT1S1	AKT1S1,PRAS40,MGC2865,LOBE
activated leukocyte cell adhesion molecule	ENSG00000170017	ALCAM	ALCAM,CD166,MEMD
secretory leukocyte peptidase inhibitor	ENSG00000124107	SLPI	SLPI,HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4
valosin containing protein	ENSG00000165280	VCP	VCP,IBMPFD,P97,CDC48,TERA
ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ENSG00000153317	ASAP1	ASAP1,DDEF1,PAP,KIAA1249,ZG14P,CENTB4
ameloblastin	ENSG00000178522	AMBN	AMBN
ankyrin repeat and KH domain containing 1	ENSG00000131503	ANKHD1	ANKHD1,MASK,FLJ20288,FLJ11979,FLJ10042,FLJ14127,KIAA1085,MASK1
peroxiredoxin 4	ENSG00000123131	PRDX4	PRDX4,AOE37-2
lipase E, hormone sensitive type	ENSG00000079435	LIPE	LIPE,HSL
transcription factor AP-2 gamma	ENSG00000087510	TFAP2C	TFAP2C,AP2-GAMMA,ERF1,TFAP2G,HAP-2G
ecto-NOX disulfide-thiol exchanger 2	ENSG00000165675	ENOX2	ENOX2,COVA1,APK1,TNOX
aquaporin 4	ENSG00000171885	AQP4	AQP4,MIWC
forkhead box C1	ENSG00000054598	FOXC1	FOXC1,FKHL7,IRID1,FREAC3,ARA,IGDA,IHG1
protein phosphatase 1 regulatory subunit 8	ENSG00000117751	PPP1R8	PPP1R8,ARD-1,NIPP-1,PRO2047,ARD1,NIPP1
Rho family GTPase 3	ENSG00000115963	RND3	RND3,ARHE,RHOE,RHO8
Rho GTPase activating protein 21	ENSG00000107863	ARHGAP21	ARHGAP21,KIAA1424,ARHGAP10
AT-rich interaction domain 5B	ENSG00000150347	ARID5B	ARID5B,FLJ21150,MRF2
parkin RBR E3 ubiquitin protein ligase	ENSG00000185345	PRKN	PRKN,PARK2,PDJ,AR-JP,PARKIN
NUAK family kinase 1	ENSG00000074590	NUAK1	NUAK1,ARK5,KIAA0537
PYD and CARD domain containing	ENSG00000103490	PYCARD	PYCARD,TMS-1,CARD5,ASC
ATM interactor	ENSG00000166454	ATMIN	ATMIN,ASCIZ,KIAA0431,ZNF822
serine and arginine rich splicing factor 1	ENSG00000136450	SRSF1	SRSF1,SFRS1,ASF,SF2,SRP30A,SF2P33,MGC5228
ASH2 like, histone lysine methyltransferase complex subunit	ENSG00000129691	ASH2L	ASH2L,ASH2L1,ASH2L2,ASH2,BRE2
autophagy related 2B	ENSG00000066739	ATG2B	ATG2B,C14ORF103,FLJ10242
suppressor of cytokine signaling 3	ENSG00000184557	SOCS3	SOCS3,SSI-3,CIS3,SOCS-3,CISH3
ATPase plasma membrane Ca2+ transporting 4	ENSG00000058668	ATP2B4	ATP2B4,ATP2B2,MXRA1,PMCA4
ATP synthase F1 subunit beta	ENSG00000110955	ATP5F1B	ATP5F1B,ATPSB,ATP5B
AUTS2, activator of transcription and developmental regulator	ENSG00000158321	AUTS2	AUTS2,KIAA0442,FBRSL2
apoptosis and caspase activation inhibitor	ENSG00000169857	AVEN	AVEN,PDCD12
NME/NM23 nucleoside diphosphate kinase 1	ENSG00000239672	NME1	NME1,NM23,NM23-H1,NDPKA
transforming acidic coiled-coil containing protein 2	ENSG00000138162	TACC2	TACC2,AZU-1
NADH:ubiquinone oxidoreductase subunit A13	ENSG00000186010	NDUFA13	NDUFA13,CGI-39,CDA016,GRIM-19,GRIM19,B16.6
nuclear receptor subfamily 1 group H member 4	ENSG00000012504	NR1H4	NR1H4,FXR,RIP14,HRR1,HRR-1
secreted protein acidic and cysteine rich	ENSG00000113140	SPARC	SPARC,ON
euchromatic histone lysine methyltransferase 2	ENSG00000204371	EHMT2	EHMT2,C6ORF30,BAT8,G9A,EM:AF134726.3,NG36/G9A,KMT1C
solute carrier family 19 member 3	ENSG00000135917	SLC19A3	SLC19A3,THTR2
myosin IA	ENSG00000166866	MYO1A	MYO1A,MYHL,DFNA48
BCAR1, Cas family scaffold protein	ENSG00000050820	BCAR1	BCAR1,P130CAS,CRKAS,CAS,CASS1
BCL2 like 14	ENSG00000121380	BCL2L14	BCL2L14,BCLG,BCL-G
BCL2 like 15	ENSG00000188761	BCL2L15	BCL2L15,C1ORF178,BFK,FLJ22588
BCL2 associated transcription factor 1	ENSG00000029363	BCLAF1	BCLAF1,KIAA0164,BTF
LDOC1, regulator of NFKB signaling	ENSG00000182195	LDOC1	LDOC1,BCUR1,MAR7,MART7,SIRH7,RTL7
oxidative stress induced growth inhibitor 1	ENSG00000140961	OSGIN1	OSGIN1,BDGI,OKL38
nucleus accumbens associated 1	ENSG00000160877	NACC1	NACC1,BTBD14B,NAC1,NAC-1,BEND8,BTBD30
brain expressed X-linked 2	ENSG00000133134	BEX2	BEX2,DJ79P11.1
brain expressed X-linked 1	ENSG00000133169	BEX1	BEX1
OCA2 melanosomal transmembrane protein	ENSG00000104044	OCA2	OCA2,D15S12,P,EYCL3,EYCL2,BEY2,EYCL,BEY,BEY1
fatty acid binding protein 7	ENSG00000164434	FABP7	FABP7,B-FABP,BLBP
harakiri, BCL2 interacting protein	ENSG00000135116	HRK	HRK,DP5
caspase recruitment domain family member 10	ENSG00000100065	CARD10	CARD10,CARMA3,BIMP1
zinc finger MYND-type containing 10	ENSG00000004838	ZMYND10	ZMYND10,BLU,CILD22
bone morphogenetic protein 4	ENSG00000125378	BMP4	BMP4,BMP2B
BCL2 interacting protein 3 like	ENSG00000104765	BNIP3L	BNIP3L,NIX,BNIP3A
RAN binding protein 9	ENSG00000010017	RANBP9	RANBP9,RANBPM
protein tyrosine kinase 6	ENSG00000101213	PTK6	PTK6,BRK
POU class 3 homeobox 2	ENSG00000184486	POU3F2	POU3F2,OTF7,POUF3,BRN2,OCT7
grainyhead like transcription factor 2	ENSG00000083307	GRHL2	GRHL2,DFNA28,TFCP2L3,FLJ13782,BOM
CUGBP Elav-like family member 2	ENSG00000048740	CELF2	CELF2,CUGBP2,ETR-3,NAPOR-2,BRUNOL3
bystin like	ENSG00000112578	BYSL	BYSL,ENP1
family with sequence similarity 107 member B	ENSG00000065809	FAM107B	FAM107B,C10ORF45,FLJ45505,MGC11034,HITS
TP53 induced glycolysis regulatory phosphatase	ENSG00000078237	TIGAR	TIGAR,C12ORF5
GSK3B interacting protein	ENSG00000100744	GSKIP	GSKIP,C14ORF129
U6 snRNA biogenesis phosphodiesterase 1	ENSG00000103005	USB1	USB1,C16ORF57,FLJ13154,HVSL1,MPN1
migration and invasion enhancer 1	ENSG00000141741	MIEN1	MIEN1,C17ORF37,MGC14832,ORB3,XTP4,C35,RDX12
stathmin 1	ENSG00000117632	STMN1	STMN1,LAP18,C1ORF215,SMN,OP18,PR22,PP19,PP17,LAG,FLJ32206
sulfiredoxin 1	ENSG00000271303	SRXN1	SRXN1,C20ORF139,NPN3,SRX1,YKL086W,DJ850E9.2
TPX2, microtubule nucleation factor	ENSG00000088325	TPX2	TPX2,C20ORF2,C20ORF1,P100,DIL-2
GC-rich sequence DNA-binding factor 2	ENSG00000005436	GCFC2	GCFC2,TCF9,C2ORF3,DNABF,GCF
CTD small phosphatase like	ENSG00000144677	CTDSPL	CTDSPL,C3ORF8,HYA22,SCP3,PSR1,RBSP3
carbohydrate sulfotransferase 11	ENSG00000171310	CHST11	CHST11,C4ST1,C4ST-1,C4ST,HSA269537
centromere protein W	ENSG00000203760	CENPW	CENPW,C6ORF173,CUG2
decaprenyl diphosphate synthase subunit 2	ENSG00000164494	PDSS2	PDSS2,C6ORF210,BA59I9.3
tribbles pseudokinase 1	ENSG00000173334	TRIB1	TRIB1,C8FW,GIG2,TRB1
cell adhesion molecule 4	ENSG00000105767	CADM4	CADM4,IGSF4C,TSLL2,NECL-4,SYNCAM4
eukaryotic elongation factor 2 kinase	ENSG00000103319	EEF2K	EEF2K,EEF-2K
calreticulin	ENSG00000179218	CALR	CALR,RO,SSA,CC1QR,CRT,FLJ26680
S100 calcium binding protein A2	ENSG00000196754	S100A2	S100A2,S100L,CAN19
interleukin 17F	ENSG00000112116	IL17F	IL17F,IL-17F,ML-1,ML1
Parkinsonism associated deglycase	ENSG00000116288	PARK7	PARK7,DJ-1,DJ1,GATD2
serine protease 8	ENSG00000052344	PRSS8	PRSS8
calcium sensing receptor	ENSG00000036828	CASR	CASR,HHC,HHC1,FHH,NSHPT,GPRC2A
CART prepropeptide	ENSG00000164326	CARTPT	CARTPT,CART
castor zinc finger 1	ENSG00000130940	CASZ1	CASZ1,FLJ20321,ZNF693,CASTOR,CST,SRG
tyrosinase related protein 1	ENSG00000107165	TYRP1	TYRP1,TYRP,CAS2,GP75,CATB,TRP,B-PROTEIN,OCA3
caspase 7	ENSG00000165806	CASP7	CASP7,MCH3,CMH-1,ICE-LAP3
caspase 8 associated protein 2	ENSG00000118412	CASP8AP2	CASP8AP2,FLASH,CED-4,RIP25,FLJ11208,KIAA1315
PICALM interacting mitotic regulator	ENSG00000129195	PIMREG	PIMREG,FAM64A,FLJ10156,FLJ10491,CATS,RCS1
chromobox 7	ENSG00000100307	CBX7	CBX7
CCAAT enhancer binding protein epsilon	ENSG00000092067	CEBPE	CEBPE,CRP1
C-X-C motif chemokine receptor 1	ENSG00000163464	CXCR1	CXCR1,CMKAR1,IL8RA,CKR-1,CDW128A,CD181
cell cycle and apoptosis regulator 2	ENSG00000158941	CCAR2	CCAR2,KIAA1967,DBC-1,DBC1,NET35
C-C motif chemokine receptor 2	ENSG00000121807	CCR2	CCR2,CMKBR2,CC-CKR-2,CKR2,MCP-1-R,CD192,FLJ78302
programmed cell death 10	ENSG00000114209	PDCD10	PDCD10,CCM3,TFAR15
cyclin A1	ENSG00000133101	CCNA1	CCNA1,CT146
endoglin	ENSG00000106991	ENG	ENG,ORW1,ORW,END,HHT1,CD105
interleukin 7 receptor	ENSG00000168685	IL7R	IL7R,CD127
melanoma cell adhesion molecule	ENSG00000076706	MCAM	MCAM,MUC18,CD146
Fc fragment of IgE receptor II	ENSG00000104921	FCER2	FCER2,CD23A,FCE2,CLEC4J,CD23
SIVA1 apoptosis inducing factor	ENSG00000184990	SIVA1	SIVA1,SIVA,SIVA-1,SIVA-2,CD27BP
CD2 associated protein	ENSG00000198087	CD2AP	CD2AP,CMS
CUB domain containing protein 1	ENSG00000163814	CDCP1	CDCP1,CD318,SIMA135
natural cytotoxicity triggering receptor 2	ENSG00000096264	NCR2	NCR2,LY95,NK-P44,CD336
frizzled class receptor 4	ENSG00000174804	FZD4	FZD4,EVR1,CD344
CD38 molecule	ENSG00000004468	CD38	CD38
integrin subunit alpha 1	ENSG00000213949	ITGA1	ITGA1,VLA1,CD49A
integrin subunit alpha 6	ENSG00000091409	ITGA6	ITGA6,CD49F
carcinoembryonic antigen related cell adhesion molecule 5	ENSG00000105388	CEACAM5	CEACAM5,CEA,CD66E
5'-nucleotidase ecto	ENSG00000135318	NT5E	NT5E,NT5,CD73,EN,ENT,CALJA
septin 7	ENSG00000122545	SEPTIN7	SEPTIN7,CDC10,CDC3,SEPT7A
cadherin 17	ENSG00000079112	CDH17	CDH17,HPT-1,CADHERIN
cadherin 3	ENSG00000062038	CDH3	CDH3,CDHP,PCAD
cell migration inducing hyaluronidase 1	ENSG00000103888	CEMIP	CEMIP,KIAA1199,IR2155535,TMEM2L,HYBID
centrosomal protein 57	ENSG00000166037	CEP57	CEP57,TRANSLOKIN,TSP57,KIAA0092
claudin 7	ENSG00000181885	CLDN7	CLDN7,CEPTRL2,CPETRL2,HS.84359
thyroid hormone receptor beta	ENSG00000151090	THRB	THRB,ERBA2,PRTH,THRB1,THRB2,NR1A2,THR1,ERBA-BETA,GRTH
CXXC finger protein 5	ENSG00000171604	CXXC5	CXXC5,HSPC195,RINF,WID
cilia and flagella associated protein 99	ENSG00000206113	CFAP99	CFAP99
yippee like 5	ENSG00000119801	YPEL5	YPEL5,CGI-127
chromodomain helicase DNA binding protein 6	ENSG00000124177	CHD6	CHD6,KIAA1335,FLJ22369,DJ620E11.1,CHD5,RIGB
suppressor of cytokine signaling 6	ENSG00000170677	SOCS6	SOCS6,SOCS4,CIS4,SSI4,HSPC060,STATI4,STAI4,CISH4
dual specificity phosphatase 1	ENSG00000120129	DUSP1	DUSP1,PTPN10,HVH1,CL100,MKP-1
MHC class I polypeptide-related sequence A	ENSG00000204520	MICA	MICA,PERB11.1
claudin 10	ENSG00000134873	CLDN10	CLDN10,OSP-L,CPETRL3
claudin 6	ENSG00000184697	CLDN6	CLDN6
claudin 9	ENSG00000213937	CLDN9	CLDN9
chloride intracellular channel 1	ENSG00000213719	CLIC1	CLIC1,NCC27,P64CLCP,G6
claspin	ENSG00000092853	CLSPN	CLSPN
tyrosinase	ENSG00000077498	TYR	TYR,OCAIA,OCA1A,OCA1
heat shock protein family B (small) member 8	ENSG00000152137	HSPB8	HSPB8,H11,E2IG1,HSP22,CMT2L
cytoplasmic polyadenylation element binding protein 4	ENSG00000113742	CPEB4	CPEB4,KIAA1673
POU class 1 homeobox 1	ENSG00000064835	POU1F1	POU1F1,PIT1,GHF-1,POU1F1A,PIT-1
carboxypeptidase M	ENSG00000135678	CPM	CPM
exportin 1	ENSG00000082898	XPO1	XPO1,CRM1,EMB
msh homeobox 2	ENSG00000120149	MSX2	MSX2,PFM1,CRS2,FPP,HOX8,MSH,PFM
lin-28 homolog B	ENSG00000187772	LIN28B	LIN28B,FLJ16517,CSDD2
NK2 homeobox 3	ENSG00000119919	NKX2-3	NKX2-3,NKX2C,NKX2.3,CSX3,NKX4-3
preferentially expressed antigen in melanoma	ENSG00000185686	PRAME	PRAME,MAPE,CT130
MAGE family member A3	ENSG00000221867	MAGEA3	MAGEA3,MAGE3,HYPD,HIP8,MGC14613,CT1.3
PAS domain containing repressor 1	ENSG00000166049	PASD1	PASD1,CT63
testis specific protein Y-linked 1	ENSG00000258992	TSPY1	TSPY1,TSPY,CT78
piwi like RNA-mediated gene silencing 2	ENSG00000197181	PIWIL2	PIWIL2,HILI,FLJ10351,MILI,CT80
CCCTC-binding factor	ENSG00000102974	CTCF	CTCF
tensin 4	ENSG00000131746	TNS4	TNS4,CTEN
granzyme A	ENSG00000145649	GZMA	GZMA,HFSP,CTLA3
killin, p53 regulated DNA replication inhibitor	ENSG00000227268	KLLN	KLLN,KILLIN
C-X-C motif chemokine ligand 12	ENSG00000107562	CXCL12	CXCL12,SDF1A,SDF1B,SDF1,SCYB12,SDF-1A,SDF-1B,PBSF,TLSF-A,TLSF-B,TPAR1
C-X-C motif chemokine ligand 17	ENSG00000189377	CXCL17	CXCL17,DCIP1,UNQ473,DMC,VCC1
platelet factor 4	ENSG00000163737	PF4	PF4,SCYB4,CXCL4
platelet factor 4 variant 1	ENSG00000109272	PF4V1	PF4V1,SCYB4V1,CXCL4V1,CXCL4L1
C-X-C motif chemokine ligand 5	ENSG00000163735	CXCL5	CXCL5,SCYB5,ENA-78
cytochrome b5 type A	ENSG00000166347	CYB5A	CYB5A,CYB5
Rac GTPase activating protein 1	ENSG00000161800	RACGAP1	RACGAP1,MGCRACGAP
cytochrome P450 family 4 subfamily B member 1	ENSG00000142973	CYP4B1	CYP4B1
diacylglycerol kinase alpha	ENSG00000065357	DGKA	DGKA,DAGK,DAGK1,DGK-ALPHA
death associated protein kinase 2	ENSG00000035664	DAPK2	DAPK2,DRP-1,MGC119312
PDZK1 interacting protein 1	ENSG00000162366	PDZK1IP1	PDZK1IP1,DD96,MAP17,SPAP
DNA damage inducible transcript 4	ENSG00000168209	DDIT4	DDIT4,RTP801,FLJ20500,REDD-1,REDD1,DIG2
DEAD-box helicase 25	ENSG00000109832	DDX25	DDX25,GRTH
protein inhibitor of activated STAT 1	ENSG00000033800	PIAS1	PIAS1,DDXBP1,GBP,GU/RH-II,ZMIZ3
EGF like repeats and discoidin domains 3	ENSG00000164176	EDIL3	EDIL3,DEL1
twist family bHLH transcription factor 2	ENSG00000233608	TWIST2	TWIST2,DERMO1,DERMO-1,BHLHA39
diablo IAP-binding mitochondrial protein	ENSG00000184047	DIABLO	DIABLO,SMAC,DIABLO-S,FLJ25049,FLJ10537,DFNA64
dihydrofolate reductase	ENSG00000228716	DHFR	DHFR
EGF containing fibulin extracellular matrix protein 1	ENSG00000115380	EFEMP1	EFEMP1,DHRD,FBNL,S1-5,FBLN3,MTLV
guanylate cyclase 2C	ENSG00000070019	GUCY2C	GUCY2C,GUC2C,STAR
interleukin 1 receptor antagonist	ENSG00000136689	IL1RN	IL1RN,IL1RA,ICIL-1RA,IL1F3,IRAP,IL-1RN,MGC10430
zinc finger and BTB domain containing 7A	ENSG00000178951	ZBTB7A	ZBTB7A,ZBTB7,FBI-1,LRF,DKFZP547O146,POKEMON,ZNF857A
vacuole membrane protein 1	ENSG00000062716	VMP1	VMP1,TMEM49,EPG3,TANGO5
dickkopf WNT signaling pathway inhibitor 3	ENSG00000050165	DKK3	DKK3,REIC,RIG
distal-less homeobox 2	ENSG00000115844	DLX2	DLX2,TES-1
distal-less homeobox 5	ENSG00000105880	DLX5	DLX5
distal-less homeobox 6	ENSG00000006377	DLX6	DLX6
DnaJ heat shock protein family (Hsp40) member A3	ENSG00000103423	DNAJA3	DNAJA3,TID1,HTID-1
DND microRNA-mediated repression inhibitor 1	ENSG00000256453	DND1	DND1,MGC34750,RBMS4
DNA methyltransferase 3 beta	ENSG00000088305	DNMT3B	DNMT3B
dedicator of cytokinesis 1	ENSG00000150760	DOCK1	DOCK1,DOCK180,CED5
prion like protein doppel	ENSG00000171864	PRND	PRND,DPL,DJ1068H6.4,DOPPEL,PRPLP
DOT1 like histone lysine methyltransferase	ENSG00000104885	DOT1L	DOT1L,KIAA1814,DOT1,KMT4
prune exopolyphosphatase 1	ENSG00000143363	PRUNE1	PRUNE1,PRUNE,DRES-17,HTCD37,H-PRUNE
family with sequence similarity 107 member A	ENSG00000168309	FAM107A	FAM107A,DRR1,TU3A
pleckstrin homology like domain family A member 1	ENSG00000139289	PHLDA1	PHLDA1,TDAG51,DT1P1B11,PHRIP
dual specificity phosphatase 26	ENSG00000133878	DUSP26	DUSP26,MGC1136,DUSP24
dual specificity phosphatase 6	ENSG00000139318	DUSP6	DUSP6,MKP-3,PYST1
dishevelled segment polarity protein 1	ENSG00000107404	DVL1	DVL1
